date,price,ma20,margin_amount_100m,margin_pct,zone,hot,low_or_depressed,below_ma20_3w,above_ma20,reentry_armed,position,shares,cash,equity,event
2021-06-27,234.37265822743927,232.7981942218223,2720.30069,0.9903846153846154,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6990957.992322001,
2021-07-04,236.6830130182903,233.09768465767334,2891.31431,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7059872.14558695,
2021-07-11,235.7417573627584,233.0035590921202,2954.62211,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7031796.0090716,
2021-07-18,239.4212112889285,233.55975561584356,2956.8878,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7141548.179086148,
2021-07-25,236.173102374861,234.07762130300185,2964.55441,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7044662.334361475,
2021-08-01,233.42790103959203,234.17585022673717,2914.66562,0.9711538461538461,hot,True,False,False,False,False,HOLD,29828.38546609756,0.0,6962777.410751026,
2021-08-08,238.1462158345856,234.71963819531788,2935.61681,0.9711538461538461,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7103517.123206486,
2021-08-15,232.74160070577474,234.86056392872396,2777.83137,0.9423076923076923,hot,True,False,False,False,False,HOLD,29828.38546609756,0.0,6942306.179848413,
2021-08-22,224.33442161651345,234.4613345333267,2657.04696,0.9134615384615384,hot,True,False,False,False,False,HOLD,29828.38546609756,0.0,6691533.6012914125,
2021-08-29,237.03097779213257,234.50868181560386,2695.34976,0.9134615384615384,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7070251.37298974,
2021-09-05,243.4650434216693,234.7664930746132,2683.28004,0.9038461538461539,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7262169.162701732,
2021-09-12,243.5508309633964,235.03715058030474,2642.65779,0.875,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7264728.066564557,
2021-09-19,241.0629922533089,235.05934154135358,2643.78901,0.8846153846153846,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7190519.854542588,
2021-09-26,239.60460404394726,235.1112955270832,2652.3798,0.8846153846153846,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7147018.488874537,
2021-10-03,229.82482428705143,235.56845339772335,2594.24153,0.8269230769230769,hot,True,False,False,False,False,HOLD,29828.38546609756,0.0,6855303.44851231,
2021-10-10,230.2537619956872,235.75612458754,2513.74377,0.8076923076923077,hot,True,False,False,False,False,HOLD,29828.38546609756,0.0,6868097.967826443,
2021-10-17,233.77105120650063,235.82444823684415,2463.8251,0.7884615384615384,high,False,False,True,False,False,HOLD,29828.38546609756,0.0,6973013.026202331,
